fiscal_year,kan_no,kan_name,ko_no,ko_name,moku_no,moku_name,initial_budget,supplementary,carryover_in,reserve_or_transfer,budget_total,expended,carryover_out,carryover_out_continuing,carryover_out_explicit,carryover_out_accident,unused,source
2019,6,農林水産業費,1,農業費,1,農業委員会費,3315000,-226000,0,0,3089000,3072013,,0,0,0,16987,R1決算書p60
2019,6,農林水産業費,1,農業費,2,農業総務費,26908000,-6000000,0,0,20908000,20862523,,0,0,0,45477,R1決算書p61
2019,6,農林水産業費,1,農業費,3,農業振興費,27766000,-4381000,131000000,0,154385000,153607338,,0,0,0,777662,R1決算書p62
2019,6,農林水産業費,1,農業費,4,畜産業費,1501000,-185000,0,0,1316000,1260353,,0,0,0,55647,R1決算書p64
2019,6,農林水産業費,1,農業費,5,畜産振興費,433000,158000,0,0,591000,581080,,0,0,0,9920,R1決算書p64
2019,6,農林水産業費,1,農業費,6,農地費,2610000,1164000,0,0,3774000,3756372,,0,0,0,17628,R1決算書p64
2019,6,農林水産業費,1,農業費,20,地域おこし協力隊事業,7045000,-4742000,0,0,2303000,728811,,0,0,0,1574189,R1決算書p65
2019,6,農林水産業費,1,農業費,21,日本型直接支払事業,5689000,-350000,0,0,5339000,5323821,,0,0,0,15179,R1決算書p65
2019,6,農林水産業費,2,林業費,1,林業総務費,10951000,-3793000,0,0,7158000,7066410,,0,0,0,91590,R1決算書p65
2019,6,農林水産業費,2,林業費,2,林業振興費,11490000,640000,0,0,12130000,11528433,,0,0,0,601567,R1決算書p66
2019,6,農林水産業費,2,林業費,3,林道費,82658000,-11023000,6000000,0,77635000,69104086,,0,7536000,0,994914,R1決算書p67
2019,6,農林水産業費,2,林業費,4,造林費,19733000,-3898000,0,0,15835000,15532690,,0,0,0,302310,R1決算書p67
2019,6,農林水産業費,2,林業費,6,森林総合研究所受託事業費,12119000,-12086000,0,0,33000,32400,,0,0,0,600,R1決算書p68
2019,6,農林水産業費,2,林業費,10,森林環境譲与税活用費,0,4762000,0,0,4762000,4747320,,0,0,0,14680,R1決算書p68
2019,7,商工費,1,商工費,1,商工総務費,6468000,-148000,0,500000,6820000,6703793,,0,0,0,116207,R1決算書p68
2019,7,商工費,1,商工費,2,商工振興費,9921000,4642000,0,-500000,14063000,14060522,,0,0,0,2478,R1決算書p69
2019,7,商工費,1,商工費,3,観光費,32416000,-2531000,0,0,29885000,28782968,,0,0,0,1102032,R1決算書p69
2019,7,商工費,1,商工費,4,地域おこし協力隊事業,8125000,-1149000,0,0,6976000,6971492,,0,0,0,4508,R1決算書p71
2019,8,土木費,1,土木管理費,1,土木総務費,675000,-71000,0,0,604000,598400,,0,0,0,5600,R1決算書p72
2019,8,土木費,2,道路橋梁費,1,道路維持費,17471000,3688000,0,76971,21235971,21235907,,0,0,0,64,R1決算書p72
2019,8,土木費,2,道路橋梁費,2,道路新設改良費,110344000,-33394000,69338000,-76971,146211029,124970127,,0,19095000,0,2145902,R1決算書p73
2019,8,土木費,2,道路橋梁費,3,道路台帳整備費,1551000,836000,0,0,2387000,2387000,,0,0,0,0,R1決算書p74
2019,8,土木費,2,道路橋梁費,4,橋梁維持費,11686000,4213000,0,0,15899000,15899000,,0,0,0,0,R1決算書p74
2019,8,土木費,3,河川費,1,河川維持費,3920000,1030000,12000000,0,16950000,14747596,,0,2160000,0,42404,R1決算書p74
2019,8,土木費,4,住宅費,1,住宅管理費,26200000,-3545000,0,0,22655000,22531791,,0,0,0,123209,R1決算書p74
2019,9,消防費,1,消防費,1,常備消防費,32801000,0,0,0,32801000,32801000,,0,0,0,0,R1決算書p75
2019,9,消防費,1,消防費,2,非常備消防費,16613000,-3544000,0,0,13069000,12287433,,0,0,0,781567,R1決算書p75
2019,9,消防費,1,消防費,3,消防施設費,8003000,-55000,0,0,7948000,7846731,,0,0,0,101269,R1決算書p77
