fiscal_year,kan_no,kan_name,ko_no,ko_name,moku_no,moku_name,jigyo_name,setsu_no,setsu_name,level,is_leaf,saisetsu_name,saisaisetsu_name,dan2_name,dan3_name,dan4_name,amount,source
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,12,役務費,2,0,01通信運搬費,,,,,14260,H30決算書p28
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,12,役務費,3,1,01通信運搬費,04年賀はがき代,,,,14260,H30決算書p28
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,12,役務費,2,0,11広告料,,,,,10800,H30決算書p28
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,12,役務費,3,1,11広告料,01新聞広告掲載料,,,,10800,H30決算書p28
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,12,役務費,2,0,21手数料,,,,,114048,H30決算書p28
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,12,役務費,3,1,21手数料,01公用車検点検料,,,,76032,H30決算書p28
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,12,役務費,3,1,21手数料,04金融機関取扱手数料,,,,38016,H30決算書p28
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,12,役務費,2,0,31筆耕料,,,,,10000,H30決算書p28
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,12,役務費,3,1,31筆耕料,01筆耕料,,,,10000,H30決算書p28
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,12,役務費,2,0,41損害保険料,,,,,455660,H30決算書p28
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,12,役務費,3,1,41損害保険料,01全国町村会団体生命保険料,,,,125250,H30決算書p28
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,12,役務費,3,1,41損害保険料,02全国総合賠償保険料,,,,104630,H30決算書p28
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,12,役務費,3,1,41損害保険料,03自賠責保険料,,,,15370,H30決算書p28
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,12,役務費,3,1,41損害保険料,04公用車共済保険料,,,,210410,H30決算書p28
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,13,委託料,1,0,,,,,,1819066,H30決算書p28
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,13,委託料,2,0,11電算委託料,,,,,422155,H30決算書p28
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,13,委託料,3,1,11電算委託料,01給与計算委託料,,,,422155,H30決算書p28
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,13,委託料,2,0,51業務委託料,,,,,864000,H30決算書p28
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,13,委託料,3,1,51業務委託料,02条例改正等支援業務委託料,,,,864000,H30決算書p28
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,13,委託料,2,0,61検診等委託料,,,,,532911,H30決算書p28
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,13,委託料,3,1,61検診等委託料,01職員健康診断委託料,,,,532911,H30決算書p28
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,14,使用料及び賃借料,1,0,,,,,,3576786,H30決算書p28
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,14,使用料及び賃借料,2,0,01使用料・借上料,,,,,2616736,H30決算書p29
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,14,使用料及び賃借料,3,1,01使用料・借上料,01コピーリース料,,,,2355344,H30決算書p29
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,14,使用料及び賃借料,3,1,01使用料・借上料,03印刷機リース料,,,,151200,H30決算書p29
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,14,使用料及び賃借料,3,1,01使用料・借上料,04自動車借上料,,,,64230,H30決算書p29
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,14,使用料及び賃借料,3,1,01使用料・借上料,06ネットＥＢ使用料,,,,39362,H30決算書p29
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,14,使用料及び賃借料,3,1,01使用料・借上料,07駐車場使用料,,,,6600,H30決算書p29
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,14,使用料及び賃借料,2,0,21有料道路通行料,,,,,960050,H30決算書p29
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,14,使用料及び賃借料,3,1,21有料道路通行料,01有料道路通行料,,,,960050,H30決算書p29
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,19,負担金補助及び交付金,1,0,,,,,,1436788,H30決算書p29
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,19,負担金補助及び交付金,2,0,11負担金（一部事務組合）,,,,,1231088,H30決算書p29
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,19,負担金補助及び交付金,3,1,11負担金（一部事務組合）,01下伊那郡町村会負担金,,,,1182100,H30決算書p29
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,19,負担金補助及び交付金,3,1,11負担金（一部事務組合）,03非常勤公務災害補償負担金,,,,19988,H30決算書p29
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,19,負担金補助及び交付金,3,1,11負担金（一部事務組合）,04下伊那郡町村総合事務組合負担金,,,,29000,H30決算書p29
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,19,負担金補助及び交付金,2,0,21負担金,,,,,177700,H30決算書p29
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,19,負担金補助及び交付金,3,1,21負担金,01安全運転管理講習会負担金,,,,9000,H30決算書p29
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,19,負担金補助及び交付金,3,1,21負担金,02自家用車組合負担金,,,,14300,H30決算書p29
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,19,負担金補助及び交付金,3,1,21負担金,03行政相談協議会負担金,,,,20000,H30決算書p29
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,19,負担金補助及び交付金,3,1,21負担金,04防火管理者協議会負担金,,,,6500,H30決算書p29
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,19,負担金補助及び交付金,3,1,21負担金,05国際連合協会負担金,,,,2000,H30決算書p29
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,19,負担金補助及び交付金,3,1,21負担金,06飯田コンピュータ協会協賛金,,,,3000,H30決算書p29
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,19,負担金補助及び交付金,3,1,21負担金,07危険物安全協会負担金,,,,5900,H30決算書p29
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,19,負担金補助及び交付金,3,1,21負担金,09指定金融機関負担金,,,,12000,H30決算書p29
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,19,負担金補助及び交付金,3,1,21負担金,11町村球技大会負担金,,,,8400,H30決算書p29
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,19,負担金補助及び交付金,3,1,21負担金,12副村長会負担金,,,,14000,H30決算書p29
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,19,負担金補助及び交付金,3,1,21負担金,15伊那大島駅駐輪場負担金,,,,35600,H30決算書p29
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,19,負担金補助及び交付金,3,1,21負担金,16保護司会賛助金,,,,23000,H30決算書p29
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,19,負担金補助及び交付金,3,1,21負担金,18飯伊広域行政会議負担金,,,,12000,H30決算書p29
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,19,負担金補助及び交付金,3,1,21負担金,21平和首長会議メンバーシップ負担金,,,,2000,H30決算書p29
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,19,負担金補助及び交付金,3,1,21負担金,22長野県暴力追放センター負担金,,,,10000,H30決算書p29
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,19,負担金補助及び交付金,2,0,51補助金,,,,,28000,H30決算書p29
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,19,負担金補助及び交付金,3,1,51補助金,01職員福利厚生補助金,,,,28000,H30決算書p29
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,27,公課費,1,0,,,,,,36550,H30決算書p29
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,27,公課費,2,0,01重量税,,,,,28700,H30決算書p29
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,27,公課費,3,1,01重量税,01公用車重量税,,,,28700,H30決算書p29
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,27,公課費,2,0,11印紙税,,,,,7850,H30決算書p29
2018,2,総務費,1,総務管理費,1,一般管理費,総務事務経費,27,公課費,3,1,11印紙税,01印紙代,,,,7850,H30決算書p29
2018,2,総務費,1,総務管理費,1,一般管理費,一般職人事管理経費（総務費）,,,0,0,,,,,,108689484,H30決算書p29
